wl,n,k
9.83187,2.72394,0.31012
9.88885,2.62894,0.227412
9.94659,2.53247,0.161656
10.0049,2.43873,0.125494
10.0639,2.36529,0.10124
10.1236,2.29721,0.07934
10.1841,2.23375,0.070724
10.2452,2.18679,0.064838
10.3072,2.14331,0.052878
10.3698,2.09737,0.047674
10.4332,2.06249,0.04645
10.4974,2.03048,0.038904
10.5624,1.99394,0.035116
10.6282,1.96552,0.0372
10.6949,1.94006,0.032984
10.7624,1.91166,0.029962
10.8307,1.88564,0.03234
10.8999,1.8659,0.030172
10.97,1.84102,0.027368
11.041,1.81768,0.028612
11.1129,1.79788,0.028284
11.1858,1.77279,0.027712
11.2596,1.75158,0.030826
11.3344,1.73154,0.03253
11.4103,1.70533,0.030548
11.4871,1.677,0.037498
11.565,1.65085,0.048242
11.6439,1.62198,0.062304
11.7239,1.59645,0.088676
11.8051,1.58188,0.119174
11.8873,1.57401,0.147042
11.9708,1.56755,0.176998
12.0554,1.57249,0.212438
12.1412,1.58763,0.239834
12.2282,1.60597,0.264626
12.3165,1.63319,0.286274
12.4061,1.67155,0.296444
12.497,1.7074,0.289638
12.5892,1.74187,0.275442
12.6828,1.77051,0.24604
12.7778,1.79001,0.205762
12.8742,1.78653,0.16296
12.9721,1.77289,0.12179
13.0715,1.74381,0.102092
13.1725,1.72089,0.089536
13.275,1.70261,0.083262
13.3791,1.68465,0.075268
13.4848,1.6647,0.074116
13.5923,1.64897,0.071756
13.7015,1.63554,0.073404
13.8124,1.62364,0.073198
13.9252,1.61169,0.072882
14.0398,1.59962,0.072884
14.1563,1.58738,0.073498
14.2748,1.57483,0.07527
14.3952,1.56619,0.080838
14.5177,1.55848,0.080502
14.6423,1.54985,0.078668
14.7691,1.53622,0.080346
14.8981,1.52622,0.079604
15.0294,1.51305,0.080606
15.163,1.49849,0.081386
15.299,1.48602,0.084862
15.4374,1.47163,0.08665
15.5784,1.45762,0.093126
15.722,1.44378,0.095176
15.8682,1.42912,0.101704
16.0172,1.41356,0.109752
16.169,1.40133,0.115604
16.3238,1.38724,0.118614
16.4815,1.36587,0.12706
16.6423,1.34912,0.137764
16.8062,1.33247,0.149606
16.9735,1.31569,0.161782
17.144,1.30271,0.17467
17.3181,1.28702,0.183392
17.4957,1.26499,0.189726
17.677,1.24374,0.207194
17.8621,1.22217,0.22175
18.0512,1.20173,0.231716
18.2442,1.17204,0.245228
18.4414,1.13929,0.257346
18.643,1.10111,0.267884
18.849,1.0392,0.28169
19.0596,0.961226,0.30983
19.275,0.870496,0.36783
19.4952,0.767366,0.451762
19.7206,0.66298,0.582018
19.9513,0.570674,0.767364
20.1874,0.519424,1.01078
20.4291,0.532204,1.30244
20.6768,0.634168,1.63239
20.9305,0.87537,1.97163
21.1905,1.27679,2.22283
21.457,1.76989,2.28669
21.7303,2.22493,2.14714
22.0108,2.54824,1.87738
22.2985,2.73081,1.57968
22.5938,2.81149,1.29833
22.8971,2.81929,1.05892
23.2086,2.78524,0.871702
23.5287,2.74191,0.72331
23.8578,2.68516,0.60039
24.1962,2.62469,0.511954
24.5443,2.5743,0.439124
24.9027,2.51833,0.377798
25.2716,2.46601,0.339358
25.6516,2.4331,0.307878
26.0432,2.395,0.272416
26.4471,2.35897,0.249286
26.8635,2.33465,0.233132
27.2933,2.31038,0.207802
27.7371,2.28384,0.192392
28.1956,2.26721,0.179578
28.6695,2.24943,0.15706
29.1595,2.22398,0.14208
29.6666,2.20388,0.133068
30.1918,2.1883,0.11907
30.7358,2.16195,0.112358
31.2997,2.14815,0.111774
31.8847,2.13872,0.107908
32.4921,2.12582,0.100738
33.123,2.11682,0.101084
33.7789,2.11403,0.092454
34.4613,2.10476,0.082412
35.1718,2.0956,0.076994
35.9123,2.08991,0.067468
36.6846,2.07953,0.056968
37.4908,2.06531,0.051742
38.3333,2.05677,0.04399
39.2146,2.04057,0.038784
40.1373,2.02653,0.041376
41.1044,2.02286,0.042664
42.1193,2.01608,0.039344
43.1857,2.00691,0.036706
44.3074,1.99988,0.046074
45.4889,1.9987,0.041226
46.7351,2.00238,0.04646
48.0517,1.99858,0.036008
49.4445,1.99825,0.02857
50.9204,1.9875,0.025838
52.4871,1.98667,0.022268
54.1536,1.97999,0.015082
55.929,1.9689,0.012618
57.8249,1.96453,0.014152
59.8537,1.95916,0.009696
62.0301,1.94949,0.01157
64.3712,1.94811,0.018468
66.8954,1.9519,0.014476
69.6258,1.94492,0.010788
72.5884,1.94264,0.01333
75.815,1.94454,0.012478
79.3411,1.93635,0.007104
83.2113,1.93223,0.0119
87.4783,1.93256,0.014176
92.2075,1.92584,0.009836
97.4763,1.91856,0.012138
103.384,1.92043,0.011296
110.054,1.91437,0.009522
117.644,1.90603,0.016706
126.358,1.91837,0.026996
136.467,1.9329,0.025082
148.333,1.92542,0.017284
162.46,1.91908,0.018146
179.562,1.92552,0.022936
200.686,1.92092,0.018238
227.444,1.90349,0.012304
262.436,1.90338,0.00502
310.152,1.90327,0.002452
379.074,1.90328,0.001274
487.382,1.90339,0.000758
